RANK,FILE,SCORE,TIME,MOVES
5,0,-2,861.224327000001,49
4,4,-3,861.190285000001,49
5,3,-3,861.1692430000011,49
3,0,0,861.1482090000011,49
5,1,-3,861.1268260000011,49
4,1,0,861.1058850000011,49
3,3,1,861.085121000001,49
0,5,12,861.064207000001,49
5,1,-3,861.030354000001,49
2,1,3,861.007108000001,49
7,0,-10,860.9730460000011,49
4,3,-3,860.9520390000012,49
4,6,0,860.9309110000012,49
5,4,-3,860.9098690000013,49
6,3,-25,860.8889440000013,49
2,6,-4,860.8677190000012,49
3,2,1,860.8461960000012,49
4,5,0,860.8247650000013,49
6,5,-25,860.8034510000012,49
1,2,20,860.7690710000012,49
7,5,-25,860.7456100000012,49
3,7,0,860.7112320000012,49
2,0,2,860.6901660000012,49
5,6,-3,860.6688800000012,49
3,0,0,860.6476040000011,49
4,0,0,860.6263790000012,49
3,5,3,860.6051100000012,49
4,2,-3,860.5840990000012,49
2,1,3,860.5499790000011,49
1,4,26,860.5289100000011,49
1,3,36,860.4938690000012,49
3,0,0,860.4713530000012,49
7,5,-25,860.4369400000012,49
3,5,3,860.4159520000011,49
7,5,-25,860.3949370000012,49
4,6,0,860.3736200000011,49
5,7,-2,860.3523440000012,49
2,1,3,860.3313400000011,49
5,0,-2,860.3101400000011,49
4,1,0,860.2762820000011,49
6,7,-10,860.2548380000011,49
1,5,15,860.219461000001,49
7,7,-10,860.198259000001,49
5,5,-3,860.1770720000011,49
5,1,-3,860.155795000001,49
3,2,1,860.1344870000011,49
3,0,0,860.113462000001,49
6,4,-22,860.092540000001,49
5,6,-3,860.0711530000011,49
0,6,-2,860.050205000001,49
7,5,-25,860.013312000001,49
5,0,-2,859.991841000001,49
3,7,0,859.953941000001,49
3,2,1,859.932448000001,49
5,5,-3,859.9111490000009,49
2,4,-5,859.889471000001,49
5,6,-3,859.8675010000011,49
5,6,-3,859.8461010000011,49
4,4,-3,859.8247760000012,49
2,0,2,859.7905090000012,49
4,6,0,859.7696700000012,49
4,1,0,859.7345190000011,49
6,5,-25,859.7134080000011,49
0,6,-2,859.6770920000012,49
1,3,36,859.6556950000011,49
6,4,-22,859.6342460000011,49
